player,team,opp,date,pts,trb,ast,fg,fga,fg_pct,threeP,ft,fta,gmsc,plus_minus,win,pts_rank
Cade Cunningham,DET,DAL,2025-01-31 00:00:00,40,6,4,17,30,0.567,3,3,3,29.2,11.0,1,119
Darius Garland,CLE,TOR,2025-01-09 00:00:00,40,2,9,14,22,0.636,4,8,9,35.7,18.0,1,119
Devin Booker,PHO,LAC,2024-10-31 00:00:00,40,5,8,11,18,0.611,5,13,15,39.1,20.0,1,119
Devin Booker,PHO,NYK,2025-04-06 00:00:00,40,4,3,16,29,0.552,2,6,7,25.6,-9.0,0,119
Jalen Brunson,NYK,DET,2025-05-01 00:00:00,40,4,7,15,33,0.455,3,7,8,26.6,5.0,1,119
Jalen Williams,OKC,IND,2025-06-16 00:00:00,40,6,4,14,25,0.56,3,9,12,30.3,14.0,1,119
James Harden,LAC,MIL,2025-01-25 00:00:00,40,5,9,12,24,0.5,4,12,12,35.4,12.0,1,119
Jayson Tatum,BOS,NYK,2025-02-08 00:00:00,40,6,4,13,26,0.5,7,7,9,29.4,18.0,1,119
Jayson Tatum,BOS,LAL,2025-03-08 00:00:00,40,12,8,12,28,0.429,6,10,12,32.5,12.0,1,119
Karl-Anthony Towns,NYK,IND,2025-02-11 00:00:00,40,12,5,14,23,0.609,3,9,9,37.2,14.0,1,119
LeBron James,LAL,POR,2025-02-20 00:00:00,40,8,4,14,24,0.583,4,8,8,24.9,8.0,1,119
Luka Dončić,DAL,PHO,2024-10-26 00:00:00,40,10,4,12,25,0.48,5,11,12,30.2,-12.0,0,119
Nikola Jokić,DEN,TOR,2024-10-28 00:00:00,40,10,4,18,27,0.667,3,1,2,33.5,9.0,1,119
Nikola Jokić,DEN,POR,2025-02-10 00:00:00,40,7,8,15,22,0.682,2,8,8,36.6,22.0,1,119
Nikola Jokić,DEN,WAS,2025-03-15 00:00:00,40,13,9,16,30,0.533,1,7,7,35.0,6.0,0,119
Nikola Vučević,CHI,CHO,2025-01-17 00:00:00,40,13,3,17,25,0.68,2,4,4,35.9,5.0,0,119
OG Anunoby,NYK,DEN,2024-11-25 00:00:00,40,5,4,16,23,0.696,5,3,3,33.9,21.0,1,119
Shai Gilgeous-Alexander,OKC,MIN,2024-12-31 00:00:00,40,3,2,15,23,0.652,3,7,9,32.4,11.0,1,119
Shai Gilgeous-Alexander,OKC,CLE,2025-01-16 00:00:00,40,3,8,17,26,0.654,1,5,5,34.7,32.0,1,119
Shai Gilgeous-Alexander,OKC,DEN,2025-03-09 00:00:00,40,8,5,15,32,0.469,2,8,8,30.2,11.0,1,119
Shai Gilgeous-Alexander,OKC,MIN,2025-05-26 00:00:00,40,9,10,13,30,0.433,2,12,14,29.1,5.0,1,119
Stephen Curry,GSW,BRK,2025-03-06 00:00:00,40,4,4,12,20,0.6,7,9,9,29.4,-16.0,1,119
Trey Murphy III,NOP,BOS,2025-01-31 00:00:00,40,5,4,15,20,0.75,8,2,3,30.9,3.0,0,119
Tyler Herro,MIA,DET,2024-11-12 00:00:00,40,5,8,14,27,0.519,10,2,2,35.6,3.0,0,119
Tyler Herro,MIA,DAL,2025-02-13 00:00:00,40,8,3,15,30,0.5,3,7,9,28.7,-8.0,0,119
Tyler Herro,MIA,MIL,2025-02-23 00:00:00,40,7,11,12,27,0.444,3,13,14,33.3,7.0,0,119
Tyrese Maxey,PHI,CHO,2024-12-16 00:00:00,40,5,5,12,28,0.429,6,10,13,28.2,18.0,1,119
Zion Williamson,NOP,SAC,2025-02-08 00:00:00,40,4,4,16,21,0.762,0,8,11,32.3,4.0,0,119
