player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Dillon Brooks,HOU,82,13.9,3.6,1.7,0.8,0.2,1.0,0.423,0.383,0.547,8.9,2.6,63.4,92,143,187
Bobby Portis,MIL,55,13.7,8.4,2.1,0.7,0.5,1.2,0.458,0.325,0.535,11.1,2.1,58.2,94,95,205
Naz Reid,MIN,94,13.7,5.8,2.2,0.7,0.9,1.4,0.468,0.369,0.591,10.6,3.6,58.5,94,102,83
Jarrett Allen,CLE,90,13.6,9.7,1.9,1.0,0.9,1.3,0.702,0.0,0.726,15.0,6.5,76.7,96,48,2
Onyeka Okongwu,ATL,76,13.5,9.0,2.3,0.9,0.9,1.2,0.559,0.242,0.621,13.6,0.2,46.1,97,65,38
Josh Hart,NYK,95,13.3,9.4,5.6,1.5,0.4,2.0,0.515,0.318,0.612,14.5,2.2,61.1,98,55,50
Rui Hachimura,LAL,64,13.3,5.0,1.4,0.8,0.5,0.9,0.511,0.391,0.623,10.6,1.6,59.4,98,102,36
Naji Marshall,DAL,71,13.2,4.7,3.0,1.0,0.2,1.7,0.495,0.245,0.573,10.8,-1.9,46.5,100,98,122
Russell Westbrook,DEN,87,13.1,4.8,5.6,1.4,0.4,3.1,0.445,0.293,0.527,10.4,-1.3,56.3,101,110,218
Alex Sarr,WAS,67,13.0,6.5,2.4,0.7,1.5,1.7,0.393,0.289,0.483,9.5,-8.2,19.4,102,128,255
Ty Jerome,CLE,76,12.8,2.5,3.4,1.1,0.1,1.3,0.513,0.398,0.632,10.8,4.9,75.0,103,98,22
Brook Lopez,MIL,85,12.7,4.9,1.7,0.6,1.8,1.0,0.499,0.352,0.612,11.0,1.4,57.6,104,96,50
Bilal Coulibaly,WAS,57,12.7,5.1,3.4,1.4,0.7,2.2,0.408,0.261,0.499,9.9,-10.3,21.1,104,118,246
Keldon Johnson,SAS,77,12.7,4.8,1.6,0.6,0.3,1.0,0.47,0.292,0.558,9.8,-2.8,40.3,104,123,162
Scoot Henderson,POR,66,12.7,3.0,5.1,1.0,0.2,2.7,0.406,0.34,0.515,9.0,-0.6,45.5,104,141,233
Santi Aldama,MEM,70,12.6,6.4,2.9,0.8,0.4,1.1,0.469,0.362,0.578,11.3,1.7,54.3,108,94,111
Jaden McDaniels,MIN,97,12.6,5.7,1.9,1.3,0.9,1.2,0.476,0.342,0.566,10.6,2.6,59.8,108,102,138
Keegan Murray,SAC,77,12.4,6.7,1.4,0.8,0.9,0.8,0.432,0.322,0.538,10.1,0.4,46.8,110,114,199
Zaccharie Risacher,ATL,76,12.4,3.5,1.2,0.7,0.5,1.2,0.435,0.307,0.528,8.2,-1.9,48.7,110,160,215
Ayo Dosunmu,CHI,46,12.3,3.5,4.5,0.9,0.4,1.5,0.496,0.327,0.585,10.5,-5.1,37.0,112,106,95
Harrison Barnes,SAS,82,12.3,3.8,1.7,0.5,0.2,0.6,0.483,0.403,0.624,10.4,-0.3,41.5,112,110,35
Aaron Nesmith,IND,67,12.3,4.6,1.2,0.8,0.5,0.9,0.474,0.442,0.623,9.4,4.4,64.2,112,134,36
Jalen Duren,DET,81,12.2,10.6,2.8,0.7,1.2,1.8,0.701,0.0,0.717,13.8,0.3,54.3,115,62,3
Daniel Gafford,DAL,58,12.2,6.8,1.4,0.4,1.8,1.2,0.699,0.0,0.713,12.4,0.8,50.0,115,82,4
Gary Trent Jr.,MIL,78,11.9,2.3,1.2,1.1,0.1,0.6,0.432,0.408,0.596,8.5,1.0,56.4,117,151,74
Jonas Valančiūnas,WAS,48,11.7,8.4,2.2,0.5,0.6,1.8,0.566,0.104,0.617,10.7,-6.4,16.7,118,100,40
