player,team,games_played,avg_pts,avg_reb,avg_ast,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,mvp_composite_score,mvp_rank
Santi Aldama,MEM,70,12.6,6.4,2.9,0.578,11.3,1.7,54.3,18.07,106
Anfernee Simons,POR,69,19.5,2.7,4.9,0.543,13.3,-3.2,39.1,18.04,107
Tari Eason,HOU,64,11.5,6.1,1.4,0.562,10.4,1.8,60.9,18.03,108
Kenrich Williams,OKC,66,6.7,3.8,1.4,0.573,5.9,4.9,80.3,17.98,109
Isaac Okoro,CLE,57,6.4,2.4,1.2,0.629,5.3,5.5,75.4,17.9,110
Jakob Poeltl,TOR,57,14.5,9.6,2.8,0.629,14.6,-0.6,36.8,17.88,111
Thomas Bryant,IND,52,7.8,4.2,0.9,0.658,7.4,-0.2,71.2,17.86,112
Sam Merrill,CLE,75,7.4,2.3,1.6,0.585,5.8,5.1,74.7,17.76,113
Dyson Daniels,ATL,78,14.0,6.0,4.4,0.546,13.7,-1.0,47.4,17.68,114
Obi Toppin,IND,98,10.6,4.1,1.6,0.615,8.6,-1.0,62.2,17.55,115
Derrick Jones Jr.,LAC,84,9.9,3.3,0.7,0.606,7.7,3.0,60.7,17.48,116
Bradley Beal,PHO,53,17.0,3.3,3.7,0.58,12.7,-5.2,41.5,17.45,117
Gary Trent Jr.,MIL,78,11.9,2.3,1.2,0.596,8.5,1.0,56.4,17.45,117
CJ McCollum,NOP,56,21.1,3.8,4.1,0.528,14.1,-5.0,30.4,17.43,119
Jake LaRavia,MEM,44,7.7,4.5,3.0,0.61,7.9,4.4,63.6,17.41,120
Donte DiVincenzo,MIN,76,11.1,3.6,3.6,0.568,8.7,1.4,59.2,17.32,121
Goga Bitadze,ORL,57,8.6,7.8,2.2,0.66,10.4,1.8,52.6,17.31,122
Russell Westbrook,DEN,87,13.1,4.8,5.6,0.527,10.4,-1.3,56.3,17.23,123
Brandin Podziemski,GSW,76,11.6,5.1,3.4,0.503,9.9,3.3,56.6,17.14,124
Miles Bridges,CHO,64,20.3,7.5,3.9,0.536,15.0,-4.0,25.0,17.1,125
Scotty Pippen Jr.,MEM,80,10.8,3.5,4.6,0.56,9.5,-0.2,58.8,17.07,126
T.J. McConnell,IND,99,9.4,2.7,4.5,0.553,8.8,-0.7,64.6,16.91,127
Quinten Post,GSW,42,8.9,4.1,1.6,0.571,6.7,1.1,66.7,16.89,128
Ausar Thompson,DET,64,10.3,5.2,2.2,0.571,9.5,1.2,54.7,16.83,129
Dean Wade,CLE,65,5.1,4.4,1.3,0.563,5.1,4.4,76.9,16.79,130
Moses Moody,GSW,80,10.0,2.7,1.4,0.564,7.5,1.7,60.0,16.77,131
Jaylen Wells,MEM,79,10.4,3.4,1.7,0.548,7.4,2.4,59.5,16.76,132
Naji Marshall,DAL,71,13.2,4.7,3.0,0.573,10.8,-1.9,46.5,16.76,133
Zach Edey,MEM,71,9.3,8.5,1.0,0.632,9.7,1.7,49.3,16.72,134
Harrison Barnes,SAS,82,12.3,3.8,1.7,0.624,10.4,-0.3,41.5,16.64,135
Dorian Finney-Smith,LAL,48,7.8,3.7,1.5,0.565,6.3,5.4,62.5,16.63,136
Klay Thompson,DAL,74,14.1,3.4,2.0,0.548,9.6,-0.8,45.9,16.58,137
Nickeil Alexander-Walker,MIN,97,9.3,3.0,2.7,0.561,7.1,2.7,59.8,16.56,138
Paul George,PHI,41,16.2,5.3,4.3,0.527,12.2,-2.0,36.6,16.54,139
Max Christie,LAL,43,9.0,2.8,1.5,0.625,7.2,-0.2,58.1,16.53,140
Draymond Green,GSW,80,9.1,6.1,5.5,0.512,9.0,3.3,58.8,16.48,141
Buddy Hield,GSW,95,11.2,3.2,1.6,0.523,7.8,1.6,56.8,16.46,142
Amir Coffey,LAC,69,10.0,2.3,1.1,0.598,7.1,-0.7,58.0,16.45,143
Devin Vassell,SAS,64,16.3,4.0,2.9,0.545,11.9,-4.1,37.5,16.45,143
Collin Sexton,UTA,62,18.7,2.7,4.3,0.598,12.9,-4.6,22.6,16.39,145
Keegan Murray,SAC,77,12.4,6.7,1.4,0.538,10.1,0.4,46.8,16.37,146
A.J. Green,MIL,76,7.9,2.5,1.6,0.616,5.7,3.2,59.2,16.36,147
Mike Conley,MIN,86,7.8,2.6,4.3,0.537,7.7,3.7,61.6,16.35,148
Jordan Poole,WAS,68,20.5,3.0,4.5,0.579,13.6,-8.2,22.1,16.32,149
Luke Kennard,MEM,67,8.9,2.9,3.3,0.582,8.2,1.7,55.2,16.32,150
Quentin Grimes,DAL,45,10.6,3.9,2.2,0.543,8.1,0.1,55.6,16.21,151
Mark Williams,CHO,43,15.5,10.3,2.5,0.651,15.6,-6.7,20.9,16.14,152
Precious Achiuwa,NYK,48,7.5,6.2,1.1,0.537,7.5,-0.2,66.7,16.14,153
Miles McBride,NYK,80,8.9,2.3,2.5,0.534,7.1,2.9,58.8,16.1,154
Grayson Allen,PHO,64,10.6,3.0,2.1,0.644,8.4,-1.2,45.3,16.07,155
Lauri Markkanen,UTA,47,19.0,5.9,1.5,0.576,13.2,-4.0,19.1,16.07,155
Keon Ellis,SAC,78,8.5,2.7,1.6,0.649,8.0,0.4,48.7,15.97,157
Tim Hardaway Jr.,DET,82,11.2,2.4,1.6,0.541,7.4,0.5,52.4,15.94,158
Vít Krejčí,ATL,50,8.1,3.0,2.9,0.682,7.5,-1.4,50.0,15.91,159
Kel'el Ware,MIA,62,10.0,8.1,1.1,0.616,9.9,0.4,41.9,15.89,160
Stephon Castle,SAS,80,14.9,3.7,4.1,0.506,10.5,-2.8,41.3,15.87,161
Landry Shamet,NYK,41,7.0,1.3,0.8,0.609,4.6,2.5,61.0,15.82,162
Jerami Grant,POR,47,14.4,3.5,2.1,0.508,9.5,-4.3,46.8,15.81,163
Kelly Oubre Jr.,PHI,60,15.1,6.1,1.8,0.552,11.6,-4.3,35.0,15.8,164
Toumani Camara,POR,77,11.5,5.8,2.3,0.57,10.1,-1.3,42.9,15.77,165
Nikola Jović,MIA,45,11.6,4.2,3.0,0.591,9.4,-1.3,42.2,15.77,166
Cole Anthony,ORL,57,11.1,3.5,3.3,0.519,8.0,0.8,50.9,15.73,167
Cameron Payne,NYK,63,7.9,1.5,3.0,0.522,6.2,3.7,60.3,15.73,168
Scoot Henderson,POR,66,12.7,3.0,5.1,0.515,9.0,-0.6,45.5,15.67,169
Dalton Knecht,LAL,65,10.3,3.2,1.0,0.529,7.1,-1.2,56.9,15.67,170
Zaccharie Risacher,ATL,76,12.4,3.5,1.2,0.528,8.2,-1.9,48.7,15.64,171
Steven Adams,HOU,45,5.1,7.1,1.3,0.558,6.9,5.0,60.0,15.59,172
Taurean Prince,MIL,83,8.0,3.5,2.0,0.596,6.5,-0.4,56.6,15.58,173
Matas Buzelis,CHI,66,10.2,4.1,1.2,0.581,7.7,-0.4,48.5,15.58,174
Julian Strawther,DEN,66,9.1,2.2,1.2,0.536,5.6,-0.8,62.1,15.58,175
Jarace Walker,IND,57,7.8,3.9,1.8,0.595,6.5,-1.4,57.9,15.49,176
Spencer Dinwiddie,DAL,77,11.3,2.7,4.5,0.559,9.5,-2.8,45.5,15.48,177
Tyus Jones,PHO,81,10.2,2.4,5.3,0.564,9.9,-1.1,44.4,15.45,178
Keldon Johnson,SAS,77,12.7,4.8,1.6,0.558,9.8,-2.8,40.3,15.45,179
Chris Paul,SAS,82,8.8,3.6,7.4,0.593,10.6,0.0,41.5,15.37,180
Kris Dunn,LAC,81,6.4,3.4,2.7,0.545,6.4,3.1,59.3,15.37,181
Clint Capela,ATL,55,8.9,8.5,1.1,0.562,9.4,-1.4,49.1,15.34,182
Jeremy Sochan,SAS,54,11.4,6.5,2.4,0.573,10.1,-1.6,38.9,15.33,183
Gary Payton II,GSW,61,7.0,3.2,1.5,0.59,6.5,0.2,55.7,15.22,184
Walker Kessler,UTA,58,11.1,12.2,1.7,0.68,14.0,-5.7,24.1,15.19,185
Trayce Jackson-Davis,GSW,46,8.7,6.5,2.1,0.609,9.3,-1.3,43.5,15.18,186
Ayo Dosunmu,CHI,46,12.3,3.5,4.5,0.585,10.5,-5.1,37.0,15.1,187
Nicolas Batum,LAC,72,4.6,3.1,1.3,0.608,4.8,2.1,61.1,15.09,188
Isaiah Stewart,DET,68,6.3,5.7,1.8,0.611,7.2,-0.1,52.9,15.07,189
Peyton Watson,DEN,79,7.7,3.4,1.2,0.543,6.7,-1.5,58.2,15.01,190
Wendell Carter Jr.,ORL,73,9.3,7.6,1.9,0.548,8.6,-0.7,45.2,14.84,191
Kentavious Caldwell-Pope,ORL,80,8.8,2.3,1.8,0.549,7.1,-0.3,48.8,14.74,192
Duncan Robinson,MIA,79,10.7,2.2,2.3,0.573,7.1,0.4,39.2,14.7,193
Anthony Black,ORL,83,9.6,3.1,2.9,0.509,7.3,-0.4,49.4,14.68,194
Guerschon Yabusele,PHI,69,11.1,5.7,2.1,0.579,9.7,-1.6,33.3,14.63,195
Jaden Hardy,DAL,41,11.2,2.0,1.9,0.531,6.5,-0.8,43.9,14.57,196
Kevon Looney,GSW,68,5.1,6.8,1.6,0.535,6.6,1.7,57.4,14.53,197
Jaime Jaquez Jr.,MIA,59,9.6,4.8,2.7,0.538,8.3,-2.7,45.8,14.51,198
Ben Sheppard,IND,74,5.3,2.8,1.2,0.568,4.4,-0.7,62.2,14.48,199
Julian Champagnie,SAS,82,9.9,3.9,1.4,0.555,7.6,-0.8,41.5,14.45,200
Kevin Porter Jr.,LAC,44,9.5,3.6,3.3,0.453,6.7,-0.4,54.5,14.45,201
Gabe Vincent,LAL,73,6.5,1.3,1.4,0.52,4.2,0.5,61.6,14.43,202
Jalen Smith,CHI,59,8.8,5.9,1.0,0.587,7.8,-0.7,40.7,14.43,203
Ron Holland,DET,75,6.7,2.8,1.0,0.55,4.8,-0.1,57.3,14.43,203
Royce O'Neale,PHO,75,9.1,4.7,2.2,0.567,7.7,-2.1,44.0,14.41,205
Terry Rozier,MIA,60,11.3,3.9,2.8,0.495,7.9,-1.9,43.3,14.36,206
Chris Boucher,TOR,48,10.2,4.6,0.7,0.564,8.3,0.0,35.4,14.31,207
Trey Lyles,SAC,64,7.0,4.8,1.2,0.549,6.3,-0.9,51.6,14.19,208
Donovan Clingan,POR,63,6.8,8.1,1.2,0.574,8.2,0.2,42.9,14.15,209
Keyonte George,UTA,67,16.8,3.8,5.6,0.539,11.6,-7.6,19.4,14.13,210
Dalano Banton,POR,47,11.0,2.6,3.0,0.492,7.7,-0.6,40.4,14.09,211
Mason Plumlee,PHO,61,5.2,6.6,1.9,0.631,6.8,0.6,44.3,14.09,212
Gradey Dick,TOR,54,14.4,3.6,1.8,0.525,9.1,-3.9,27.8,14.04,213
Trendon Watford,BRK,42,10.5,3.8,2.7,0.539,7.4,-1.3,38.1,14.01,214
Haywood Highsmith,MIA,74,7.1,3.6,1.6,0.551,6.4,0.2,47.3,14.0,215
Tristan Da Silva,ORL,62,8.4,3.8,1.8,0.517,6.5,-1.5,46.8,13.77,216
Ochai Agbaji,TOR,62,10.6,3.9,1.6,0.589,8.5,-3.4,30.6,13.75,217
Oso Ighodaro,PHO,41,5.9,4.9,1.5,0.651,6.2,-0.3,39.0,13.69,218
Patrick Williams,CHI,64,8.8,3.7,1.9,0.496,6.3,-3.0,48.4,13.57,219
Simone Fontecchio,DET,69,6.3,3.0,0.9,0.528,4.6,0.8,50.7,13.51,220
Jonathan Isaac,ORL,64,5.9,4.8,0.7,0.521,6.4,-0.6,48.4,13.33,221
Nic Claxton,BRK,70,10.3,7.4,2.2,0.574,10.5,-7.1,28.6,13.25,222
Ja'Kobe Walter,TOR,48,9.3,3.3,1.7,0.527,6.7,-2.0,37.5,13.18,223
Ryan Dunn,PHO,62,8.0,4.1,0.9,0.511,6.0,-2.4,45.2,13.17,224
Jose Alvarado,NOP,56,10.3,2.4,4.6,0.51,8.7,-4.1,33.9,13.14,225
Justin Champagnie,WAS,53,10.2,6.5,1.1,0.577,9.8,-5.2,26.4,13.14,226
Day'Ron Sharpe,BRK,50,7.9,6.6,1.8,0.563,8.4,1.3,28.0,13.1,227
Jonas Valančiūnas,WAS,48,11.7,8.4,2.2,0.617,10.7,-6.4,16.7,13.06,228
Dalen Terry,CHI,53,5.6,2.2,1.6,0.524,4.5,-1.5,50.9,12.91,229
Ziaire Williams,BRK,63,10.0,4.6,1.3,0.533,7.4,-5.2,34.9,12.89,230
Julian Phillips,CHI,57,5.7,2.7,0.6,0.551,4.7,1.6,42.1,12.84,231
Corey Kispert,WAS,60,11.7,3.0,1.7,0.567,7.9,-4.6,23.3,12.79,232
Jalen Wilson,BRK,78,9.6,3.5,1.9,0.554,6.6,-3.3,32.1,12.79,233
Andre Jackson Jr.,MIL,49,4.2,3.4,1.6,0.51,3.6,-0.3,55.1,12.73,234
Jamison Battle,TOR,50,8.1,3.0,1.0,0.617,5.8,-3.7,32.0,12.7,235
Yves Missi,NOP,71,9.4,8.4,1.4,0.565,10.0,-6.6,26.8,12.66,236
Kyle Filipowski,UTA,65,10.4,6.6,2.1,0.61,8.8,-5.3,20.0,12.63,237
Brice Sensabaugh,UTA,68,11.2,3.0,1.6,0.586,7.5,-4.1,20.6,12.54,238
Kris Murray,POR,45,5.9,3.6,1.4,0.477,5.1,-0.0,46.7,12.48,239
Seth Curry,CHO,49,8.6,2.1,1.1,0.593,6.6,-2.8,26.5,12.39,240
Ricky Council IV,PHI,50,9.8,4.0,1.6,0.518,7.0,-3.7,28.0,12.12,241
Jordan Hawkins,NOP,55,10.9,2.9,1.2,0.473,6.6,-5.7,32.7,12.06,242
Keon Johnson,BRK,73,11.2,4.0,2.4,0.484,7.3,-5.7,28.8,12.05,243
Jamal Shead,TOR,69,7.6,1.6,4.5,0.511,5.9,-3.3,36.2,11.99,244
Bilal Coulibaly,WAS,57,12.7,5.1,3.4,0.499,9.9,-10.3,21.1,11.84,245
Alex Sarr,WAS,67,13.0,6.5,2.4,0.483,9.5,-8.2,19.4,11.81,246
Davion Mitchell,TOR,42,6.6,2.0,4.8,0.529,5.6,-1.5,33.3,11.78,247
Tyrese Martin,BRK,56,9.3,3.9,2.1,0.51,6.7,-4.7,26.8,11.54,248
Johnny Juzang,UTA,61,9.4,3.0,1.1,0.561,6.5,-5.5,23.0,11.53,249
Gary Harris,ORL,43,3.4,1.4,0.7,0.456,2.8,0.6,51.2,11.49,250
Moussa Diabaté,CHO,55,6.7,7.3,1.0,0.587,8.1,-1.8,18.2,11.46,251
Nick Smith Jr.,CHO,50,11.5,2.4,2.8,0.49,6.5,-7.9,24.0,11.19,252
Jonathan Mogbo,TOR,55,6.8,5.4,2.6,0.493,6.8,-4.0,29.1,10.98,253
Jeremiah Robinson-Earl,NOP,54,7.3,5.4,1.5,0.585,7.0,-5.0,18.5,10.89,254
Josh Green,CHO,67,7.5,2.6,1.6,0.527,5.6,-5.3,25.4,10.66,255
Javonte Green,NOP,46,6.2,3.8,0.9,0.56,6.1,-4.8,23.9,10.66,256
Bub Carrington,WAS,82,9.8,4.2,4.4,0.502,7.5,-9.7,22.0,10.58,257
Noah Clowney,BRK,46,9.1,3.9,0.9,0.489,5.6,-5.7,23.9,10.55,258
Kyshawn George,WAS,67,8.8,4.2,2.5,0.479,6.4,-5.5,22.4,10.45,259
Isaiah Collier,UTA,69,8.9,3.4,6.4,0.476,7.3,-5.7,20.3,10.43,260
DaQuan Jeffries,CHO,44,7.1,3.0,1.2,0.486,4.8,-5.5,20.5,9.42,261
Tidjane Salaün,CHO,56,6.2,4.9,1.3,0.475,4.5,-5.4,19.6,8.88,262
Cody Williams,UTA,47,4.9,2.3,1.2,0.413,2.5,-6.9,17.0,6.89,263
